Category,2024_Total,2024_With_Eng,2024_Eng_Rate,2025_Total,2025_With_Eng,2025_Eng_Rate
Uncategorized,532,179,33.64661654135339,453,151,33.33333333333333
Technical Issue,135,55,40.74074074074074,98,34,34.69387755102041
Integration,58,14,24.137931034482758,55,11,20.0
How-To/Question,63,16,25.396825396825395,37,19,51.35135135135135
Notifications,29,7,24.137931034482758,21,6,28.57142857142857
Authentication,17,4,23.52941176470588,16,2,12.5
PNR,9,6,66.66666666666666,7,4,57.14285714285714
Reporting,13,2,15.384615384615385,6,1,16.666666666666664
Documentation,0,0,0.0,5,3,60.0
Performance,7,1,14.285714285714285,4,2,50.0
Documents,18,6,33.33333333333333,4,0,0.0
Connectivity,2,1,50.0,3,3,100.0
rhino_eiffel,0,0,0.0,3,3,100.0
rm_fiji,0,0,0.0,3,3,100.0
Quotation,0,0,0.0,2,1,50.0
ServiceSearch,0,0,0.0,2,2,100.0
Notes,0,0,0.0,2,0,0.0
Payments,10,4,40.0,2,2,100.0
TCE,0,0,0.0,2,1,50.0
Maintenance,0,0,0.0,1,0,0.0
Service,1,0,0.0,1,0,0.0
Record_Types,0,0,0.0,1,1,100.0
Sandbox,1,1,100.0,1,0,0.0
KaptioPay,1,0,0.0,1,0,0.0
Services,0,0,0.0,1,0,0.0
Taxes,0,0,0.0,1,0,0.0
addon,0,0,0.0,1,1,100.0
kaptiopay,13,5,38.46153846153847,1,0,0.0
Leads,0,0,0.0,1,0,0.0
API,3,1,33.33333333333333,1,0,0.0
Email,4,1,25.0,1,1,100.0
Builder,2,2,100.0,1,1,100.0
Costings,4,1,25.0,1,0,0.0
ConfirmedItinerary,0,0,0.0,1,1,100.0
Flights,3,2,66.66666666666666,1,1,100.0
Builders,0,0,0.0,1,0,0.0
Costs,1,0,0.0,1,1,100.0
ItineraryBuilder,0,0,0.0,1,1,100.0
cruise_search,1,0,0.0,0,0,0.0
borobudur,1,0,0.0,0,0,0.0
Amendments,3,2,66.66666666666666,0,0,0.0
Content,1,0,0.0,0,0,0.0
Speed,1,0,0.0,0,0,0.0
Status,1,0,0.0,0,0,0.0
SupplierPayments,1,1,100.0,0,0,0.0
Connect,1,1,100.0,0,0,0.0
Configuration,1,1,100.0,0,0,0.0
Travel-Document,3,1,33.33333333333333,0,0,0.0
TravelNation,1,0,0.0,0,0,0.0
Cancellation,1,0,0.0,0,0,0.0
Security,1,0,0.0,0,0,0.0
B2B,1,0,0.0,0,0,0.0
Wetu,1,1,100.0,0,0,0.0
rb_enhancements,15,8,53.333333333333336,0,0,0.0
June24_UAT_Refresh,1,0,0.0,0,0,0.0
Currency,2,0,0.0,0,0,0.0
Sandbox_refresh,1,0,0.0,0,0,0.0
Permissions,1,0,0.0,0,0,0.0
LightningApp,1,0,0.0,0,0,0.0
Manifest,1,0,0.0,0,0,0.0
Markup,1,1,100.0,0,0,0.0
Itinerary,1,1,100.0,0,0,0.0
Inventory,3,2,66.66666666666666,0,0,0.0
ATOL,3,0,0.0,0,0,0.0
Passengers,4,1,25.0,0,0,0.0
Payment,1,0,0.0,0,0,0.0
Pricing,1,0,0.0,0,0,0.0
Itinerary_Builder,4,2,50.0,0,0,0.0
Profit,1,0,0.0,0,0,0.0
Eiffel,1,1,100.0,0,0,0.0
Railbookers_Eiffel_Upgrade,3,3,100.0,0,0,0.0
RecordTypes,1,0,0.0,0,0,0.0
Docs,2,0,0.0,0,0,0.0
Refresh,2,0,0.0,0,0,0.0
CustomService,1,1,100.0,0,0,0.0
Salesforce,1,0,0.0,0,0,0.0
swain_performance,1,0,0.0,0,0,0.0
