Organization,2024_Tickets,2025_Tickets,Change,Pct_Change,2025_Avg_Resolution_Days
Railbookers,307,246,-61,-19.86970684039088,54.2229290798284
Audley Travel,158,90,-68,-43.037974683544306,25.32900724618259
Rocky Mountaineer,115,68,-47,-40.869565217391305,49.78275642650462
Intrepid Travel,0,55,55,0.0,18.377882803030307
Viking Cruises China,22,44,22,100.0,27.9031138688973
Travel Nation,88,44,-44,-50.0,38.344016902557335
TTC - African Travel Inc,45,39,-6,-13.333333333333334,37.560597386872765
Rhino Africa,35,39,4,11.428571428571429,45.37913185343013
Swain Destinations,72,32,-40,-55.55555555555556,59.587195795887794
Aurora Expeditions,54,25,-29,-53.70370370370371,58.2763682593599
Naturreisen,40,21,-19,-47.5,28.15864729789886
TTC - Lion World Travel,9,13,4,44.44444444444444,36.54883738168726
Carr Golf,12,7,-5,-41.66666666666667,5.831155441743827
Orvis,8,7,-1,-12.5,0.6144627372685185
Iceland Travel,16,5,-11,-68.75,9.320307818287038
Unknown,0,5,5,0.0,9.655734021990742
Local Foreigner,9,4,-5,-55.55555555555556,86.85168598958334
Golfbreaks,2,0,-2,-100.0,0.0
Tauck,3,0,-3,-100.0,0.0
DuVine,2,0,-2,-100.0,0.0
Belmond,1,0,-1,-100.0,0.0
